,Longitude,Latitude,Rank,Officer Gender,Officer Race,Years of SPD Service,Number of Rounds,Subject Gender,Subject Race,Subject Weapon,Fatal,On-duty,Disposition,Disciplined,Key Phrase,Sentiment,Negativity
11,-122.3462964,47.62090272,Officer,0,White,12,2,0,Black or African American,1,0,1,1,No,"['vehicle', 'Aurora Avenue North', 'subjects', 'parking lot', 'parking space', 'passenger', 'reverse', 'assault', 'Seattle Police Patrol Officers riding department', 'bicycles', 'officers’ bicycle', 'control', 'block', 'concrete wall', 'intersection', 'dome light', 'windows', 'driver’s', 'foot', 'custody', 'barrier', 'money', 'firearm', 'rounds', 'drug transaction', 'hands', 'car']","{'positive': 0.11, 'neutral': 0.11, 'negative': 0.78}",0.78
12,-122.3365573,47.70050188,Officer,0,White,16,1,0,White,1,0,1,1,No,"['subject standing', 'middle of Wallingford Avenue North', 'block of Wallingford Avenue North', 'patrol rifle', 'deceased', 'apparent self-inflicted gunshot wound', 'multiple Seattle Police Officers', 'reports of shots', 'driveway', 'position', 'trunk', 'handgun', 'safe distance', 'vehicle', 'reverse', 'sight', 'round', 'car', 'arrival']","{'positive': 0.16, 'neutral': 0.12, 'negative': 0.72}",0.72
13,-122.3208729,47.61990775,Officer,0,Black,7,Multiple,0,White,1,1,1,1,No,"['subject', 'area of Broadway Avenue East', 'East John', 'uniformed Seattle Police Officers', 'hands visible', 'waistband', 'dispatched information', 'reports', 'fights', 'series of disturbances', 'bystanders', 'bus stop', 'legs', 'orders', 'rounds', 'gun', 'sides', 'dead', 'scene', 'chest', 'commands', 'pistol', 'revolver', 'steps', 'people']","{'positive': 0.0, 'neutral': 0.09, 'negative': 0.91}",0.91
14,-122.3208729,47.61990775,Officer,0,White,1,Multiple,0,White,1,1,1,1,No,"['subject', 'area of Broadway Avenue East', 'East John', 'uniformed Seattle Police Officers', 'hands visible', 'waistband', 'dispatched information', 'reports', 'fights', 'series of disturbances', 'bystanders', 'bus stop', 'legs', 'orders', 'rounds', 'gun', 'sides', 'dead', 'scene', 'chest', 'commands', 'pistol', 'revolver', 'steps', 'people']","{'positive': 0.0, 'neutral': 0.09, 'negative': 0.91}",0.91
15,-122.3423916,47.61034467,Officer,0,White,12,Multiple,0,White,0,0,0,1,No,"['female subject', 'duty Seattle Police Officer', 'Post Alley', 'owned motorcycle', 'officer’s motorcycle', 'Virginia', 'officers’ efforts', 'crowd of people', 'officers’ path', 'additional rounds', 'Stewart', 'gunshot wounds', 'apparent effort', 'Harborview Medical Center', 'midnight', 'ensuing disturbance', 'fender', 'firearm', 'defense', 'face', 'head', 'department', 'travel', 'course', 'ground', 'attackers']","{'positive': 0.07, 'neutral': 0.07, 'negative': 0.86}",0.86
16,-122.3436956,47.72955825,Officer,0,White,3,1,0,Asian,1,0,1,1,No,"['stolen vehicle', 'unmarked Seattle Police vehicle', 'subject', 'plain clothes Seattle Police Officers', 'Seattle Police badges', 'driver', 'Violation', 'Anti-Crime Team', 'duty', 'Uniform Controlled Substance Act', 'Auto Theft', 'Assault', 'block of Midvale Avenue North', 'Harborview Medical Center', 'emergency lights', 'round', 'windshield', 'park', 'stop']","{'positive': 0.01, 'neutral': 0.15, 'negative': 0.84}",0.84
17,-122.3445521,47.69309926,Officer,0,White,11,Multiple,0,White,1,1,1,1,No,"['additional officers', 'vehicle', 'plain clothes Seattle Police Officers', 'males', 'remaining subjects', 'Anti-Crime Team', 'duty', 'passenger seat', 'gunpoint', 'block of Aurora Avenue North', 'driver’s window', 'knees', 'subjects’ line', 'rounds', 'dead', 'scene', 'disturbance', 'firearm', 'witnesses', 'motel', 'bumper', 'custody']","{'positive': 0.01, 'neutral': 0.08, 'negative': 0.91}",0.91
18,-122.3445521,47.69309926,Officer,0,White,7,Multiple,0,White,1,1,1,1,No,"['additional officers', 'vehicle', 'plain clothes Seattle Police Officers', 'males', 'remaining subjects', 'Anti-Crime Team', 'single gunshot wound', 'duty', 'left abdomen', 'passenger seat', 'gunpoint', 'Harborview Medical Center', 'block of Aurora Avenue North', 'driver’s window', 'knees', 'subjects’ line', 'wounds', 'rounds', 'dead', 'scene', 'disturbance', 'firearm', 'witnesses', 'motel', 'bumper', 'custody']","{'positive': 0.06, 'neutral': 0.08, 'negative': 0.86}",0.86
19,-122.3372817,47.61852939,Officer,0,White,8,1,0,White,1,0,0,1,No,"['Seattle Police vehicle', 'subject vehicle', 'Seattle Police personnel', 'unmarked vehicle', 'vehicle inoperative', 'driver', 'Seattle Police Department Sergeant', 'Aurora Avenue North', 'Greenlake Drive North', 'intersection of Westlake Avenue North', 'rounds', 'block of Yale Avenue', 'Greenlake neighborhood', 'exchange of words', 'Detectives', 'Denny Way', 'plain clothes', 'vehicles', 'duty', 'miles', 'horn', 'area', 'lanes of travel', 'parking space', 'times', 'low rate of speed', 'distance', 'proceeding', 'handgun', 'tires', 'Linden', 'emergency equipment', 'slide', 'Assault', 'collision', 'stop']","{'positive': 0.0, 'neutral': 0.08, 'negative': 0.92}",0.92
20,-122.2989312,47.60086584,Officer,0,White,2,2,0,Asian,0,0,1,1,No,"['subjects', 'duty Seattle Police Officer', 'South Washington', 'Avenue South', 'area', 'officer’s vehicle', 'shirt', 'ground', 'marked Seattle Police patrol vehicle', 'black object', 'northwest corner', 'uniform', 'sight', 'Harborview Medical Center', 'times', 'males', 'investigative stop', 'opposite direction', 'hands', 'waistband', 'left leg', 'rounds', 'point', 'custody']","{'positive': 0.01, 'neutral': 0.28, 'negative': 0.71}",0.71
21,-122.246725,47.594899,Sergeant,0,Asian/Pacific Islander,29,2,0,Black or African American,1,0,1,1,No,"['subject', 'Seattle Police Robbery Detectives', 'unmarked Seattle Police vehicle', 'Armed Bank Robbery', 'plain clothes', 'block', 'residential neighborhood', 'dead end driveway', 'Qualstar Credit Union', 'Mercer Island', 'emergency lights', 'right index finger', 'high rate of speed', 'attempt', 'rounds', 'Interstate', 'small handgun', 'Avenue South', 'opportunity', 'robberies']","{'positive': 0.01, 'neutral': 0.05, 'negative': 0.94}",0.94
22,-122.246725,47.594899,Detective,0,White,19,2,0,Black or African American,1,0,1,1,No,"['subject', 'Seattle Police Robbery Detectives', 'unmarked Seattle Police vehicle', 'Armed Bank Robbery', 'plain clothes', 'block', 'residential neighborhood', 'dead end driveway', 'Qualstar Credit Union', 'Mercer Island', 'emergency lights', 'right index finger', 'high rate of speed', 'attempt', 'rounds', 'Interstate', 'small handgun', 'Avenue South', 'opportunity', 'robberies']","{'positive': 0.01, 'neutral': 0.05, 'negative': 0.94}",0.94
23,-122.339003,47.6045234,Sergeant,0,AI/AN,19,Multiple,0,White,1,0,1,1,No,"['SWAT Officers', 'subjects', 'Seattle Police Patrol Officers', 'West Seattle', 'Seattle Police Department', 'minutes', 'scene', 'vehicle', 'SWAT Team', 'black airsoft pellet pistol', 'King County Sheriff’s Office', 'KCSO', 'Deputy', 'Wells Fargo Bank', 'California Avenue Southwest', 'downtown', 'extended pursuit', 'traffic', 'subject’s escape', 'Jeep Cherokee', 'driver’s seat', 'dead', 'foot', 'surrender', 'time']","{'positive': 0.01, 'neutral': 0.12, 'negative': 0.87}",0.87
24,-122.339003,47.6045234,Officer,0,Multi-Racial,14,Multiple,0,White,1,0,1,1,No,"['SWAT Officers', 'subjects', 'Seattle Police Patrol Officers', 'West Seattle', 'Seattle Police Department', 'minutes', 'scene', 'vehicle', 'SWAT Team', 'black airsoft pellet pistol', 'King County Sheriff’s Office', 'KCSO', 'Deputy', 'Wells Fargo Bank', 'California Avenue Southwest', 'downtown', 'extended pursuit', 'traffic', 'subject’s escape', 'Jeep Cherokee', 'driver’s seat', 'dead', 'foot', 'surrender', 'time']","{'positive': 0.01, 'neutral': 0.12, 'negative': 0.87}",0.87
25,-122.339003,47.6045234,Officer,1,White,8,Multiple,0,White,1,0,1,1,No,"['SWAT Officers', 'subjects', 'Seattle Police Patrol Officers', 'West Seattle', 'Seattle Police Department', 'minutes', 'scene', 'vehicle', 'SWAT Team', 'black airsoft pellet pistol', 'King County Sheriff’s Office', 'KCSO', 'Deputy', 'Wells Fargo Bank', 'California Avenue Southwest', 'downtown', 'extended pursuit', 'traffic', 'subject’s escape', 'Jeep Cherokee', 'driver’s seat', 'dead', 'foot', 'surrender', 'time']","{'positive': 0.01, 'neutral': 0.12, 'negative': 0.87}",0.87
27,-122.3096331,47.66747695,Officer,0,White,7,Multiple,0,White,1,1,1,1,No,"['subject', 'Seattle Police Patrol Officers', 'alley', 'apartment', 'WWII era rifle', 'patrol rifles', 'basement door', 'Avenue Northeast', 'times', 'Harborview Medical Center', 'report of shots', 'block', 'bayonet', 'witness', 'dead', 'unit', 'shotgun', 'occupants', 'weapon', 'person']","{'positive': 0.0, 'neutral': 0.0, 'negative': 1.0}",1
28,-122.3096331,47.66747695,Officer,0,White,10,Multiple,0,White,1,1,1,1,No,"['subject', 'Seattle Police Patrol Officers', 'alley', 'apartment', 'WWII era rifle', 'patrol rifles', 'basement door', 'Avenue Northeast', 'times', 'Harborview Medical Center', 'report of shots', 'block', 'bayonet', 'witness', 'dead', 'unit', 'shotgun', 'occupants', 'weapon', 'person']","{'positive': 0.0, 'neutral': 0.0, 'negative': 1.0}",1
29,-122.3448961,47.71717447,Officer,0,White,1,Multiple,0,White,1,1,1,1,No,"['team of officers', 'additional officers', 'female subject saying', 'room', 'Seattle Police Patrol Officers', 'door', 'female occupant', 'entry', 'Seattle Police Department', 'fixed blade knife', 'block of Aurora Avenue North', 'reports', 'active dispute', 'domestic disturbance', 'motel', 'resuce', 'length of wood', 'pepper spray', 'face', 'bodyweight', 'hand', 'window', 'inches', ""manager's key"", 'operators', 'custody', 'backup', 'taze', 'medics', 'deadbolt', 'scene']","{'positive': 0.01, 'neutral': 0.14, 'negative': 0.85}",0.85
30,-122.3448961,47.71717447,Officer,0,White,3,Multiple,0,White,1,1,1,1,No,"['team of officers', 'additional officers', 'female subject saying', 'room', 'Seattle Police Patrol Officers', 'door', 'female occupant', 'entry', 'Seattle Police Department', 'fixed blade knife', 'block of Aurora Avenue North', 'reports', 'active dispute', 'domestic disturbance', 'motel', 'resuce', 'length of wood', 'pepper spray', 'face', 'bodyweight', 'hand', 'window', 'inches', ""manager's key"", 'operators', 'custody', 'backup', 'taze', 'medics', 'deadbolt', 'scene']","{'positive': 0.01, 'neutral': 0.14, 'negative': 0.85}",0.85
31,-122.3448961,47.71717447,Officer,0,White,1,Multiple,0,White,1,1,1,1,No,"['team of officers', 'additional officers', 'female subject saying', 'room', 'Seattle Police Patrol Officers', 'door', 'female occupant', 'entry', 'Seattle Police Department', 'fixed blade knife', 'block of Aurora Avenue North', 'reports', 'active dispute', 'domestic disturbance', 'motel', 'resuce', 'length of wood', 'pepper spray', 'face', 'bodyweight', 'hand', 'window', 'inches', ""manager's key"", 'operators', 'custody', 'backup', 'taze', 'medics', 'deadbolt', 'scene']","{'positive': 0.01, 'neutral': 0.14, 'negative': 0.85}",0.85
32,-122.3448961,47.71717447,Officer,0,White,13,Multiple,0,White,1,1,1,1,No,"['team of officers', 'additional officers', 'female subject saying', 'room', 'Seattle Police Patrol Officers', 'door', 'female occupant', 'entry', 'Seattle Police Department', 'fixed blade knife', 'block of Aurora Avenue North', 'reports', 'active dispute', 'domestic disturbance', 'motel', 'resuce', 'length of wood', 'pepper spray', 'face', 'bodyweight', 'hand', 'window', 'inches', ""manager's key"", 'operators', 'custody', 'backup', 'taze', 'medics', 'deadbolt', 'scene']","{'positive': 0.01, 'neutral': 0.14, 'negative': 0.85}",0.85
33,-122.3448961,47.71717447,Officer,0,White,8,Multiple,0,White,1,1,1,1,No,"['team of officers', 'additional officers', 'female subject saying', 'room', 'Seattle Police Patrol Officers', 'door', 'female occupant', 'entry', 'Seattle Police Department', 'fixed blade knife', 'block of Aurora Avenue North', 'reports', 'active dispute', 'domestic disturbance', 'motel', 'resuce', 'length of wood', 'pepper spray', 'face', 'bodyweight', 'hand', 'window', 'inches', ""manager's key"", 'operators', 'custody', 'backup', 'taze', 'medics', 'deadbolt', 'scene']","{'positive': 0.01, 'neutral': 0.14, 'negative': 0.85}",0.85
34,-122.3555406,47.72050943,Officer,0,White,8,1,0,White,1,0,1,1,No,"['apartment', 'sliding glass door', 'month old child', 'Seattle Police Officers', 'single round', 'shotgun round', 'block of Greenwood Avenue North', 'Harborview Medical Center', 'family members', 'repeated statements', 'welfare check', 'scene', 'balcony', 'care', 'psychological observation', 'Crisis Intervention', 'CIT', 'times', 'recent days', 'suicide', 'imminent danger', 'entry', 'minutes', 'subject’s girlfriend', 'doorknob', 'face', 'firearm']","{'positive': 0.0, 'neutral': 0.0, 'negative': 1.0}",1
35,-122.3554527,47.70508354,Detective,0,White,10,4,0,White,1,0,1,1,No,"['subject vehicle', 'subject’s vehicle', 'subjects’ vehicle', 'Seattle Police Detectives', 'Seattle Police Patrol Officers', 'Seattle Police vehicles', 'Seattle Police personnel', 'bank employees', 'Bank of America', 'similar robberies', 'stolen truck', 'Avenue Northwest', 'area', 'Holman Road', 'consecutive days', 'medics', 'path', 'gunpoint', 'Harborview Medical Center', 'Honda CRV', 'Shoreline', 'people', 'scene', 'rounds', 'stop', 'arms', 'Robbery']","{'positive': 0.01, 'neutral': 0.06, 'negative': 0.93}",0.93
36,-122.3070097,47.59925078,Officer,0,Asian/Pacific Islander,3,5,0,Black or African American,1,0,1,1,No,"['moving vehicle', 'abandoned vehicle', 'subjects', 'South Jackson', 'Taser deployment', 'injuries', 'Avenue South', 'gunshot wound', 'parking lot', 'passenger', 'duty Seattle Police Patrol Officers', 'mismatched license plates', 'corner', 'distance', 'street', 'effect', 'foot', 'weapon', 'commands', 'handgun', 'driver’s']","{'positive': 0.0, 'neutral': 0.07, 'negative': 0.93}",0.93
40,-122.2949335,47.60165231,Student Officer,1,White,<1,Multiple,0,Black or African American,1,0,1,1,No,"['Student Officer', 'Seattle Police Patrol Field Training Officer', 'Seattle Police vehicle', 'marked Seattle Police patrol vehicle', 'defensive cover', 'intersection', 'forward compartment', 'Avenue', 'multiple rounds', 'East Yesler Way', 'attack', 'help', 'officers', 'traffic stop', 'scene', 'shooting']","{'positive': 0.0, 'neutral': 0.01, 'negative': 0.99}",0.99
41,-122.2776109,47.53154602,Officer,0,White,5,Multiple,0,Black or African American,0,1,1,-1,Missing,"['male subject', 'Seattle Police Patrol Officer', 'patrol vehicle', 'disabled vehicle', 'suspicious vehicle', 'hands', 'Lakewood shooting', 'patrol shotgun', 'Lakewood Police Department Officers', 'yard', 'City of Seattle', 'coffee shop', 'block of South Kenyon', 'Washington', 'location', 'hooded sweatshirt', 'suspect', 'defensive position', 'multiple rounds', 'driver’s', 'description', 'medics', 'waist area', 'head', 'custody', 'weapon', 'scene', 'face', 'shots', 'residence', 'pockets', 'intention']","{'positive': 0.0, 'neutral': 0.02, 'negative': 0.98}",0.98
42,-122.3970527,47.68164887,Officer,0,White,12,3,0,White,1,0,1,1,No,"['barricaded subject', 'SWAT Officers', 'MHP’s', 'minutes', 'surrender', 'lethal rounds', 'black semi-automatic rifle', 'Tactics', 'Seattle Police Department Special Weapons', 'wooden dowel', 'flash bang', 'Mental Health Professionals', 'attempts', 'home', 'long gun', 'devices', 'crisis hotline', 'windows', 'block of Northwest', 'Hostage negotiators', 'welfare', 'custody', 'point', 'Harassment']","{'positive': 0.0, 'neutral': 0.05, 'negative': 0.95}",0.95
43,-122.2906997,47.6897709,Officer,0,White,11,1,0,White,1,1,1,1,No,"['subject', 'duty officer', 'duty Seattle Police Patrol Officers', 'gun', 'contact', 'employee area', 'Store employees', 'Quality Food Center', 'Harborview Medical Center', 'medics', 'domestic violence investigation', 'QFC', 'custody', 'block', 'firearm', 'narrow hallway', 'meat department', 'Avenue Northeast', 'physical altercation', 'holster', 'warning', 'assist', 'weapon', 'abdomen']","{'positive': 0.09, 'neutral': 0.11, 'negative': 0.8}",0.8
44,-122.3314166,47.61617112,Officer,0,White,2,4,0,Native American,1,1,1,0,Yes,"['subject', 'Back-up officer', 'duty Seattle Police Patrol Officer', 'Seattle Police patrol vehicle', 'knife', 'intersection of Boren Avenue', 'Howell', 'traffic light', 'emergency lights', 'pedestrian', 'block of wood', 'dead', 'scene', 'times', 'rounds', 'firearm', 'custody']","{'positive': 0.01, 'neutral': 0.1, 'negative': 0.89}",0.89
45,-122.4113922,47.57591476,Student Officer,0,Hispanic/Latino,1,Multiple,0,White,1,0,1,1,No,"['subject', 'officers', 'Seattle Police', 'house', 'caller', 'Student Officer', 'Field Training Officer', 'plain clothes', 'Patrol Sergeant', 'medics', 'report of shots', 'Harborview Medical Center', 'block of Southwest Admiral Way', 'rifle', 'door', 'recent argument', 'father', 'spouse', 'gunshot', 'scene', 'verbal commands', 'Aggravated Assault', 'suicide', 'phone', 'line', 'injuries', 'custody']","{'positive': 0.0, 'neutral': 0.02, 'negative': 0.98}",0.98
46,-122.4113922,47.57591476,FTO,0,White,16,Multiple,0,White,1,0,1,1,No,"['subject', 'officers', 'Seattle Police', 'house', 'caller', 'Student Officer', 'Field Training Officer', 'plain clothes', 'Patrol Sergeant', 'medics', 'report of shots', 'Harborview Medical Center', 'block of Southwest Admiral Way', 'rifle', 'door', 'recent argument', 'father', 'spouse', 'gunshot', 'scene', 'verbal commands', 'Aggravated Assault', 'suicide', 'phone', 'line', 'injuries', 'custody']","{'positive': 0.0, 'neutral': 0.02, 'negative': 0.98}",0.98
47,-122.4113922,47.57591476,Sergeant,0,AI/AN,19,Multiple,0,White,1,0,1,1,No,"['subject', 'officers', 'Seattle Police', 'house', 'caller', 'Student Officer', 'Field Training Officer', 'plain clothes', 'Patrol Sergeant', 'medics', 'report of shots', 'Harborview Medical Center', 'block of Southwest Admiral Way', 'rifle', 'door', 'recent argument', 'father', 'spouse', 'gunshot', 'scene', 'verbal commands', 'Aggravated Assault', 'suicide', 'phone', 'line', 'injuries', 'custody']","{'positive': 0.0, 'neutral': 0.02, 'negative': 0.98}",0.98
48,-122.3142213,47.59147341,Officer,0,White,9,Multiple,0,Asian,1,1,1,1,No,"['subject', 'SWAT Officers', 'Avenue South', 'Seattle', 'fast backup', 'firefighters', 'parked car', 'intersection', 'multiple commands', 'Department', 'request', 'block', 'location', 'welfare check', 'alley', 'cover', 'wheel', 'time', 'handgun', 'weapon', 'Medics', 'scene', 'contact', 'head', 'vehicle']","{'positive': 0.11, 'neutral': 0.18, 'negative': 0.71}",0.71
49,-122.3142213,47.59147341,Officer,0,White,10,Multiple,0,Asian,1,1,1,1,No,"['subject', 'SWAT Officers', 'Avenue South', 'Seattle', 'fast backup', 'firefighters', 'parked car', 'intersection', 'multiple commands', 'Department', 'request', 'block', 'location', 'welfare check', 'alley', 'cover', 'wheel', 'time', 'handgun', 'weapon', 'Medics', 'scene', 'contact', 'head', 'vehicle']","{'positive': 0.11, 'neutral': 0.18, 'negative': 0.71}",0.71
50,-122.3142213,47.59147341,Officer,0,Multi-Racial,17,Multiple,0,Asian,1,1,1,1,No,"['subject', 'SWAT Officers', 'Avenue South', 'Seattle', 'fast backup', 'firefighters', 'parked car', 'intersection', 'multiple commands', 'Department', 'request', 'block', 'location', 'welfare check', 'alley', 'cover', 'wheel', 'time', 'handgun', 'weapon', 'Medics', 'scene', 'contact', 'head', 'vehicle']","{'positive': 0.11, 'neutral': 0.18, 'negative': 0.71}",0.71
51,-122.3302648,47.60171616,Officer,0,White,21,1,0,Hispanic,1,0,1,1,No,"['subject', 'firearm', 'waistband', 'duty Seattle Police Patrol Officers', 'Taser officer', 'Avenue', 'patrol vehicle', 'gun shaped object', 'area', 'report', 'Yesler Way', 'maintained lethal cover', 'Aggravated Assault', 'man', 'Possession', 'weapons', 'Harborview Medical Center', 'business', 'block', 'doorway', 'callers', 'ground', 'custody', 'handgun']","{'positive': 0.0, 'neutral': 0.1, 'negative': 0.9}",0.9
52,-122.3237636,47.59583331,Officer,1,White,7,Multiple,0,Black or African American,1,0,1,1,No,"['firearm', 'Seattle Police Patrol Officer', 'disturbance', 'Avenue South', 'South Dearborn', 'area', 'extended distance', 'large number of people', 'parking lot', 'custody', 'subjects’ path of travel', 'direction', 'magnum revolver', 'foot', 'Assault']","{'positive': 0.01, 'neutral': 0.03, 'negative': 0.96}",0.96
53,-122.3237636,47.59583331,Officer,1,White,7,Multiple,0,Black or African American,1,0,1,1,No,"['firearm', 'Seattle Police Patrol Officer', 'disturbance', 'Avenue South', 'South Dearborn', 'area', 'extended distance', 'large number of people', 'parking lot', 'custody', 'subjects’ path of travel', 'direction', 'magnum revolver', 'foot', 'Assault']","{'positive': 0.01, 'neutral': 0.03, 'negative': 0.96}",0.96
54,-122.3478317,47.6179556,Detective,0,White,31,2,0,White,0,1,1,1,No,"['subject', 'Seattle Police Detectives', 'unmarked Seattle Police vehicle', 'Denny Way', 'homicide victim’s credit card', 'surveillance position', 'area', 'additional units', 'intersection', 'Avenue', 'description', 'foot', 'physical altercation', 'arrest', 'control', 'ground', 'person', 'sight', 'firearm', 'custody', 'rounds', 'gunpoint', 'scene']","{'positive': 0.0, 'neutral': 0.05, 'negative': 0.95}",0.95
55,-122.2638879,47.52764247,Officer,0,Hispanic/Latino,22,Multiple,0,Asian,1,0,1,-1,,"['subject', 'scene', 'partner', 'Pritchard Beach Park', 'Deadly Weapon', 'shooting', 'bench', 'rounds', 'suspect', 'burglary victim’s house', 'bright colored handgun', 'Harborview Medical Center', 'Assault', 'non-life threatening injuries', 'alley', 'Degree', 'King County jail', 'block of Rainier Avenue South', 'person', 'duty Seattle Police', 'officers', 'cover', 'Lake Washington', 'radio', 'gate', 'fence', 'flanking motion', 'commands', 'situation', 'people', 'ground', 'custody']","{'positive': 0.05, 'neutral': 0.03, 'negative': 0.92}",0.92
56,-122.3463112,47.61915026,Officer,0,Black,22,Multiple,0,Black or African American,1,0,1,1,No,"['patrol officers', 'bicycle officers', 'subject climbing', 'damaged vehicle', 'uniformed Seattle Police Officers riding Department', 'parking lot', 'Seattle Center', 'emphasis patrol', 'bicycles', 'block of Taylor Avenue North', 'Investigation of Assault', 'King County Jail', 'Bumbershoot Music Festival', 'SUV', 'high rate of speed', 'assistance', 'officer fear', 'shattered window', 'custody', 'foot']","{'positive': 0.0, 'neutral': 0.0, 'negative': 1.0}",1
